First Name,Last Name,Email,Employer,Classification,Local,Notes
  Noah,O'Connor  ,noah.oconnor33@example-union.org,Northshore Mechanical,Foreperson,Local 101,"assigned to, mobile crew"
Liam,Nguyen,liam.nguyen34@sampleco.ca,Prairie Build Systems,Welder,Local 212,clear
Mason,Chen,mason.chen35@opsdemo.net,Harborline Electrical,Operator,Local 303,clear
Ethan,Wilson,ethan.wilson36@example-union.org,Summit Civil Group,Rigger,Local 414,clear
Olivia,Davis,olivia.davis37@sampleco.ca,Metro Transit Works,Journeyperson,Local 515,clear
Emma,Allen,emma.allen38@opsdemo.net,Union Ridge Contractors,Apprentice Year 1,Local 626,clear
Sophia,Scott,sophia.scott39@example-union.org,Maple Street Fabrication,Apprentice Year 2,Local 101,clear
Mia,Johnson,mia.johnson40@sampleco.ca,Northern Grid Services,Apprentice Year 3,Local 212,clear
Charlotte,Anderson,charlotte.anderson41@opsdemo.net,Lakeside Industrial,Foreperson,Local 303,"assigned to, mobile crew"
Amelia,White,amelia.white42@example-union.org,Bridgeway Infrastructure,Welder,Local 414,clear
Harper,Thompson,harper.thompson43@sampleco.ca,Northshore Mechanical,Operator,Local 515,clear
Evelyn,Robinson,evelyn.robinson44@opsdemo.net,Prairie Build Systems,Rigger,Local 626,clear
Abigail,Lewis,abigail.lewis45@example-union.org,Harborline Electrical,Journeyperson,Local 101,clear
Ella,Hall,ella.hall46@sampleco.ca,Summit Civil Group,Apprentice Year 1,Local 212,needs follow-up; missing badge photo
Aria,St-Pierre,aria.stpierre47@opsdemo.net,Metro Transit Works,Apprentice Year 2,Local 303,clear
Scarlett,Singh,scarlett.singh48@example-union.org,Union Ridge Contractors,Apprentice Year 3,Local 414,clear
Penelope,Gonzalez,penelope.gonzalez49@sampleco.ca,Maple Street Fabrication,Foreperson,Local 515,"assigned to, mobile crew"
  Luna,Mitchell,luna.mitchell50@opsdemo.net,Northern Grid Services,Welder,Local 626,clear
Nora,Young,nora.young51@example-union.org,Lakeside Industrial,Operator,Local 101,clear
Hazel,Wright  ,hazel.wright52@sampleco.ca,Bridgeway Infrastructure,Rigger,Local 212,clear
Avery,Smith,avery.smith53@opsdemo.net,Northshore Mechanical,Journeyperson,Local 303,clear
Jordan,Taylor,jordan.taylor54@example-union.org,Prairie Build Systems,Apprentice Year 1,Local 414,  reviewed by lead steward  
Taylor,Jackson,taylor.jackson55@sampleco.ca,Harborline Electrical,Apprentice Year 2,Local 515,clear
Casey,Martin,casey.martin56@opsdemo.net,Summit Civil Group,Apprentice Year 3,Local 626,clear
Morgan,Martinez,morgan.martinez57@example-union.org,Metro Transit Works,Foreperson,Local 101,"assigned to, mobile crew"
Riley,Rodriguez,riley.rodriguez58@sampleco.ca,Union Ridge Contractors,Welder,Local 212,clear
Jamie,Walker,jamie.walker59@opsdemo.net,Maple Street Fabrication,Operator,Local 303,needs follow-up; missing badge photo
Quinn,McNeil,quinn.mcneil60@example-union.org,Northern Grid Services,Rigger,Local 414,clear
Cameron,Patel,cameron.patel61@sampleco.ca,Lakeside Industrial,Journeyperson,Local 515,clear
Drew,Kim,drew.kim62@opsdemo.net,Bridgeway Infrastructure,Apprentice Year 1,Local 626,clear
Parker,Campbell,parker.campbell63@example-union.org,Northshore Mechanical,Apprentice Year 2,Local 101,clear
Alex,Moore,alex.moore64@sampleco.ca,Prairie Build Systems,Apprentice Year 3,Local 212,clear
Reese,King,reese.king65@opsdemo.net,Harborline Electrical,Foreperson,Local 303,"assigned to, mobile crew"
Dakota,Green,dakota.green66@example-union.org,Summit Civil Group,Welder,Local 414,clear
  Rowan,Brown,rowan.brown67@sampleco.ca,Metro Transit Works,Operator,Local 515,clear
Skyler,Thomas,skyler.thomas68@opsdemo.net,Union Ridge Contractors,Rigger,Local 626,clear
